,Unnamed: 0,Unnamed: 0.1,gene_ID,type,gene_symbol,start,stop,description,pos,pathway,"L: L, Mono","D: L, S in maj 1","FL: L, Eco Eq 1","Q: L, Glu exp","WL: L, S in maj 2","Y: L, Eco Eq 2","T: R, Glu Exp","H: L, Ac exp","FS: S, Eco Eq 1"
558,558,586,ECB_00562,cds,entB,610402,611259,isochorismatase,610830.5,"{'ebr01053': 'Biosynthesis of siderophore group nonribosomal peptides', 'ebr01110': 'Biosynthesis of secondary metabolites'}",0.00410067948375761,-0.003037599164790877,0.004555705607165127,0.010278723940145227,0.0080695456446593,-0.0060931752143486865,-0.003896627946227442,-0.019217236355659258,0.010637406941335456
559,559,587,ECB_00563,cds,entA,611259,612005,"2,3-dihydroxybenzoate-2,3-dehydrogenase",611632.0,"{'ebr01053': 'Biosynthesis of siderophore group nonribosomal peptides', 'ebr01110': 'Biosynthesis of secondary metabolites'}",-0.01039045918191743,,0.00590252659191266,0.0029831847582204225,-0.01189448217750771,0.01785187495415531,-0.0481083344539567,-0.024838604379438068,0.0150225303875852
560,560,588,ECB_00564,cds,ybdB,612008,612421,hypothetical protein,612214.5,{'ebr01053': 'Biosynthesis of siderophore group nonribosomal peptides'},,,,,,,-0.007425006128711586,,-0.0033571602751217037
561,561,589,ECB_00566,cds,ybdD,614879,615076,hypothetical protein,614977.5,,,,,,,,,,
562,562,590,ECB_00567,cds,ybdH,615086,616174,predicted oxidoreductase,615630.0,,,,,,,,-0.005339455135820509,,-0.00856824715739594
563,563,591,ECB_00568,cds,ybdL,616283,617443,putative aminotransferase,616863.0,,-0.004285156462382486,-0.0015636201490929333,0.0030277154444725324,0.0018635146214180534,0.005172171235374511,0.0018799034487293085,0.0024883467694014664,0.007504497751310295,-0.02110098612836036
564,564,592,ECB_00569,cds,ybdM,617444,618073,hypothetical protein,617758.5,,0.004269553496208625,0.002972533507284177,-0.014001824184492195,0.0034738084506684827,0.0036252906390499967,-0.005956197684373989,0.008487130287410131,-0.005765866353950013,-0.007207071854652542
565,565,593,ECB_00570,cds,ybdN,618046,619107,hypothetical protein,618576.5,,-0.006578280403403172,0.013795584754056166,-0.009774708707802936,-0.00010217482563575286,-0.01463974269618861,-0.0030533960515384964,0.005713750265171888,-0.003168126473978052,-0.005956443425854834
566,566,594,ECB_00571,cds,insB-8,619132,619635,IS1 protein InsB,619383.5,,,,,,,,,,
567,567,595,ECB_00572,cds,insA-8,619554,619829,IS1 protein InsA,619691.5,,,,,,,,,,
568,568,596,ECB_00573,cds,dsbG,619863,620624,periplasmic disulfide isomerase/thiol-disulphide oxidase,620243.5,,,,,,,,0.00010879378839833272,,-0.0021150005606986304
569,569,597,EBG00001040560,ncrna,STnc70,620758,620851,,620804.5,,,,,,,,,,
570,570,598,ECB_00574,cds,ahpC,620996,621559,"alkyl hydroperoxide reductase, C22 subunit",621277.5,,,,,,,,,,
571,571,599,ECB_00575,cds,ahpF,621804,623369,"alkyl hydroperoxide reductase, F52a subunit, FAD/NAD(P)-binding",622586.5,,-0.028056549252346703,0.01165619553906045,-0.0042989460061308845,-0.022881258336429296,-0.023242908865611492,-0.028678242877289376,-0.0016572762952470632,-0.0069000527976494,-0.004343109480036905
572,572,600,ECB_00576,cds,ybdQ,623490,623918,universal stress protein UP12,623704.0,,,,,,,,0.007452349434571225,,-0.017004961211939486
573,573,601,ECB_00577,cds,ybdR,624139,625377,"predicted oxidoreductase, Zn-dependent and NAD(P)-binding",624758.0,,-0.004720941723093604,,-0.004465628706405618,-0.005764397148203476,-0.0027669669022347323,-0.005900411213972789,0.0020875184174801316,-0.0015932713431488102,-0.006048012268686891
574,574,602,ECB_00578,cds,rnk,625608,626018,nucleoside diphosphate kinase regulator,625813.0,,,,,,,,-0.05201158888896595,,-0.004167130563107593
575,575,603,EBG00001040694,ncrna,rnk_leader,626064,626172,,626118.0,,,,,,,,,,
576,576,604,ECB_00579,cds,rna,626248,627054,ribonuclease I,626651.0,,,,,,,,0.018949857742047105,,-0.024770605320288287
577,577,605,ECB_00580,cds,citT,627168,628631,citrate,627899.5,{'ebr02020': 'Two-component system'},-0.0009522816466205146,-0.002147376049482198,0.000207683202278606,-0.00261317192202464,-0.004781359312761642,-0.001970752946842169,0.001043546104566632,-0.004057923346508838,0.0024237727325189373
578,578,606,ECB_00581,cds,citG,628682,629560,triphosphoribosyl-dephospho-CoA transferase,629121.0,{'ebr02020': 'Two-component system'},-0.00017035667481021788,0.011076110090713577,-0.015874275548639117,0.011073449573937235,-0.00476771932465222,-0.016484143441281563,0.00025371753323566313,0.006304160585022727,0.013440280705774283
579,579,607,ECB_00582,cds,citX,629535,630086,2'-(5'-triphosphoribosyl)-3'-dephospho-CoA,629810.5,{'ebr02020': 'Two-component system'},,,,0.0040675355843525045,,-0.01187581597720196,-0.015317495472562585,0.025496545529005016,-0.009187662654198238
580,580,608,ECB_00583,cds,citF,630090,631622,"citrate lyase, citrate-ACP transferase (alpha) subunit",630856.0,{'ebr02020': 'Two-component system'},0.0036271322453558814,-0.0630258528769605,0.007035418630890391,-0.005628941411023959,0.001639132587553798,0.01259866685749565,-0.00582261523336933,-0.001544691622678388,0.009025474120031367
581,581,609,ECB_00584,cds,citE,631633,632541,"citrate lyase, citryl-ACP lyase (beta) subunit",632087.0,{'ebr02020': 'Two-component system'},-0.0059296656899093005,,3.1030822059511784e-05,0.013801028902890908,-0.007215384238280428,-0.008147926847302095,-0.013052477230220157,0.005774726091102859,-0.006354121551851625
582,582,610,ECB_00585,cds,citD,632538,632834,"citrate lyase, acyl carrier (gamma) subunit",632686.0,{'ebr02020': 'Two-component system'},,,,,,,-0.024421833341404055,,
583,583,611,ECB_00586,cds,citC,632849,633907,citrate lyase synthetase,633378.0,{'ebr02020': 'Two-component system'},-0.003120094612596335,0.006323260652580794,0.005449595322321361,0.0009550700836047436,-0.008610081843252262,0.0010258963303853604,-0.006885920686820773,0.0010900250164847206,0.006577646254630904
584,584,612,ECB_00587,cds,insB-9,633993,634496,IS1 protein InsB,634244.5,,,,,,,,,,
585,585,613,ECB_00588,cds,insA-9,634415,634690,IS1 protein InsA,634552.5,,,,,,,,,,
586,586,614,ECB_00589,cds,citA,634823,636481,sensory histidine kinase in two-component regulatory system with citB,635652.0,{'ebr02020': 'Two-component system'},-0.0014678367591379315,,-0.01051429778319216,-0.005847886859858551,-0.0076383842155831,0.0012316612987678553,0.0023354913973965413,-0.01221350802142806,-0.0032197322830029886
587,587,615,ECB_00590,cds,citB,636450,637130,DNA-binding response regulator in two-component regulatory system with citA,636790.0,{'ebr02020': 'Two-component system'},-0.010313463546378934,0.004905066126647846,-0.002144861978788048,-0.0019320807910787868,0.004852951860975853,0.0010435136610661012,-0.004953930915459478,-0.002686953300667782,0.0002987978190770269
588,588,616,ECB_00591,cds,dcuC,637171,638556,anaerobic C4-dicarboxylate transport,637863.5,,-0.002548711574872052,-0.003309142283231429,-0.004485979678362695,-0.0004420464893218422,-0.007471283906176536,-0.0016090904124015856,0.0008811834372387275,0.002070769842114713,-0.003054553772175224
589,589,617,ECB_00592,cds,crcA,639144,639704,palmitoyl transferase for Lipid A,639424.0,"{'ebr00540': 'Lipopolysaccharide biosynthesis', 'ebr01503': 'Cationic antimicrobial peptide (CAMP) resistance'}",-0.0009818475834170053,-0.009425557548732831,0.003929020810013347,0.001286417008210883,-0.0029946417584892572,-0.0008760381486996314,0.007982867842995971,3.377793496719077e-05,-0.001386072521649617
590,590,618,ECB_00593,cds,cspE,639873,640082,cold shock protein E,639977.5,,,,,,,,0.0073423221654138875,,-0.015992279310682655
591,591,619,ECB_00594,cds,ccrB,640137,640520,camphor resistance protein CrcB,640328.5,,,,,,,,,,
592,592,620,ECB_00595,cds,ybeM,640613,641401,putative NAD(P)-binding amidase-type enzyme YbeM (C-N hydrolase family),641007.0,,,,,,,,-0.007267297132434474,,
593,593,621,ECB_00596,cds,tatE,641530,641733,twin arginine translocase protein E,641631.5,"{'ebr03060': 'Protein export', 'ebr03070': 'Bacterial secretion system'}",,,,,,,0.02215347288162619,,
594,594,622,ECB_00597,cds,lipA,641834,642799,lipoyl synthase,642316.5,"{'ebr00785': 'Lipoic acid metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01240': 'Biosynthesis of cofactors'}",,,,,,,,,
595,595,623,ECB_00598,cds,ybeF,643008,643961,predicted DNA-binding transcriptional regulator,643484.5,,-0.0024455394086764807,0.009682822909276816,-0.0034125408531426303,-0.00104077054472173,-0.0030194151576704363,-0.002209904542104801,-0.0069300443076272655,-0.0014373884710519992,-0.0030846418032619053
596,596,624,ECB_00599,cds,lipB,644220,644861,lipoyltransferase,644540.5,"{'ebr00785': 'Lipoic acid metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01240': 'Biosynthesis of cofactors'}",,,,,,,,,
597,597,625,ECB_00600,cds,ybeD,644962,645225,hypothetical protein,645093.5,,,,,,,,,,
598,598,626,ECB_00601,cds,dacA,645335,646546,D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 5),645940.5,"{'ebr00550': 'Peptidoglycan biosynthesis', 'ebr01100': 'Metabolic pathways'}",,,,,,,,,
599,599,627,ECB_00602,cds,rlpA,646686,647774,minor lipoprotein,647230.0,,,,,,,,0.01317028607630296,,
600,600,628,ECB_00603,cds,mrdB,647785,648897,cell wall shape-determining protein,648341.0,,,,,,,,,,
601,601,629,ECB_00604,cds,mrdA,648900,650801,transpeptidase involved in peptidoglycan synthesis (penicillin-binding protein 2),649850.5,"{'ebr00550': 'Peptidoglycan biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01501': 'beta-Lactam resistance'}",,,,,,,,,
602,602,630,ECB_00605,cds,ybeA,650832,651299,hypothetical protein,651065.5,,,,,,,,,,
603,603,631,ECB_00606,cds,ybeB,651303,651620,hypothetical protein,651461.5,,,,,,,,0.030896086538481707,,
604,604,632,ECB_00607,cds,phpB,651880,652491,predicted alpha-ribazole-5'-P phosphatase,652185.5,"{'ebr00860': 'Porphyrin metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01240': 'Biosynthesis of cofactors'}",,,,,,,0.00035953281552661637,,-0.0022645157655840444
605,605,633,ECB_00608,cds,nadD,652515,653156,nicotinic acid mononucleotide adenyltransferase,652835.5,"{'ebr00760': 'Nicotinate and nicotinamide metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01240': 'Biosynthesis of cofactors'}",,,,,,,,,
606,606,634,ECB_00609,cds,holA,653158,654189,DNA polymerase III subunit delta,653673.5,"{'ebr03030': 'DNA replication', 'ebr03430': 'Mismatch repair', 'ebr03440': 'Homologous recombination'}",,,,,,,,,
607,607,635,ECB_00610,cds,rlpB,654189,654770,minor lipoprotein,654479.5,,,,,,,,,,
608,608,636,ECB_00611,cds,leuS,654785,657367,leucyl-tRNA synthetase,656076.0,{'ebr00970': 'Aminoacyl-tRNA biosynthesis'},,,,,,,,,
609,609,637,ECB_00612,cds,ybeL,657602,658084,hypothetical protein,657843.0,,0.003480291636555461,0.0208327453151681,-0.011507401720579373,-0.0040919533092287795,0.02637884101486356,0.024504164666087583,-0.012305367051780137,0.006413775842863978,-0.021041367552047996
610,610,638,ECB_00614,cds,ybeR,659295,660002,hypothetical protein,659648.5,,-0.002594730438346961,0.006178359846732539,-0.0010296593259746085,0.0011231140573727855,-0.000677253969067681,-0.0016673398180540875,-0.002423290908342797,-4.1643937991358974e-07,-0.0025697429033594648
611,611,639,ECB_00615,cds,ybeV,660310,661449,Hsc56 co-chaperone of HscC,660879.5,,0.0015669231920611728,-0.00580749495064402,0.00217010439034105,0.0029176998182053465,-0.0020861043587781718,-0.000509560274582358,0.0018140510448733922,0.0016720592065194244,-0.003059763830489418
612,612,640,ECB_00616,cds,hscC,661509,663179,"Hsp70 family chaperone Hsc62, binds to RpoD and inhibits transcription",662344.0,,-0.0033576919261179877,0.00043298414354501986,-0.00024302655579988574,0.00014491268797725437,-0.0022745648010892784,-0.0003255754571022398,0.0013932119690677114,-0.0017228748091930436,-5.5836366842293886e-05
613,613,641,ECB_00617,cds,rihA,663263,664198,ribonucleoside hydrolase 1,663730.5,"{'ebr00240': 'Pyrimidine metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01232': 'Nucleotide metabolism'}",0.0020486069816895974,0.0039827321072575745,0.0011924755267227907,-0.0029871729637649326,-0.0031276088347301305,-0.003916770166520292,-0.00027890348058430683,0.0011641481693112827,0.004828846287926727
614,614,642,ECB_00619,cds,insJ-2,664735,665256,IS150 hypothetical protein,664995.5,,,,,,,,,,
615,615,643,ECB_00620,cds,insK-2,665253,666104,IS150 putative transposase,665678.5,,,,,,,,,,
616,616,644,ECB_00621,cds,gltK,666487,667161,glutamate and aspartate transporter subunit,666824.0,"{'ebr02010': 'ABC transporters', 'ebr02020': 'Two-component system'}",-0.004732857617985633,,0.0020553391549809237,-0.0011932787434092154,0.0015805953799135721,0.010514088894451552,-0.02011215610534726,-0.0018753499558972454,-0.004218465788783738
617,617,645,ECB_00622,cds,gltJ,667161,667901,glutamate and aspartate transporter subunit,667531.0,"{'ebr02010': 'ABC transporters', 'ebr02020': 'Two-component system'}",-0.005003535265383808,0.0016811048599146019,-0.000562917549719337,-0.007670315896205047,-0.008576636689899006,0.0033554938495125304,0.002288330620128952,-0.001444129172271102,-0.013920390988004816
618,618,646,EBG00001040533,ncrna,sroC,667913,668075,,667994.0,,,,,,,,,,
619,619,647,ECB_00623,cds,gltI,668071,668979,glutamate and aspartate transporter subunit,668525.0,"{'ebr02010': 'ABC transporters', 'ebr02020': 'Two-component system'}",-0.0210198053648924,,,0.0018562401615678824,-0.017568830426135374,-0.02063630834543736,-0.007501657127967002,0.0028099793556649374,-0.015404174969436054
620,620,649,ECB_00625,cds,lnt,671438,672976,apolipoprotein N-acyltransferase,672207.0,,,,,,,,,,
621,621,650,ECB_00626,cds,ybeX,673001,673879,predicteed ion transport,673440.0,,-0.0010266992887288519,,0.006566854245994628,0.007433847116566529,0.008564503850960357,0.006755884747534614,-0.021724442901800856,,
622,622,651,ECB_00627,cds,ybeY,673969,674436,hypothetical protein,674202.5,,,,,,,,,,
623,623,652,ECB_00628,cds,ybeZ,674433,675512,predicted protein with nucleoside triphosphate hydrolase domain,674972.5,,,,,,,,,,
624,624,653,ECB_00629,cds,yleA,675626,677050,isopentenyl-adenosine A37 tRNA methylthiolase,676338.0,,-0.0037718030990017736,,-0.01848694534723944,-0.013380796763962926,0.0012004315881293062,-0.013281772211047434,0.010255442141949829,-0.006077552057562651,-0.007447269072008621
625,625,654,ECB_00630,cds,ubiF,677196,678371,"2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase",677783.5,"{'ebr00130': 'Ubiquinone and other terpenoid-quinone biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01240': 'Biosynthesis of cofactors'}",,,,,,,,,
626,626,655,ECB_t00008,ncrna,glnX,678525,678599,,678562.0,{'ebr00970': 'Aminoacyl-tRNA biosynthesis'},,,,,,,,,
627,627,656,EBG00001040611,ncrna,tRNA,678528,678599,,678563.5,,,,,,,,,,
628,628,657,ECB_t00009,ncrna,glnV,678637,678711,,678674.0,{'ebr00970': 'Aminoacyl-tRNA biosynthesis'},,,,,,,,,
629,629,658,EBG00001040631,ncrna,tRNA,678640,678711,,678675.5,,,,,,,,,,
630,630,659,ECB_t00010,ncrna,metU,678759,678835,,678797.0,{'ebr00970': 'Aminoacyl-tRNA biosynthesis'},,,,,,,,,
631,631,660,EBG00001040546,ncrna,tRNA,678762,678835,,678798.5,,,,,,,,,,
632,632,661,ECB_t00011,ncrna,glnW,678851,678925,,678888.0,{'ebr00970': 'Aminoacyl-tRNA biosynthesis'},,,,,,,,,
633,633,662,EBG00001040529,ncrna,tRNA,678854,678925,,678889.5,,,,,,,,,,
634,634,663,ECB_t00012,ncrna,glnU,678960,679034,,678997.0,{'ebr00970': 'Aminoacyl-tRNA biosynthesis'},,,,,,,,,
635,635,664,EBG00001040679,ncrna,tRNA,678963,679034,,678998.5,,,,,,,,,,
636,636,665,ECB_t00013,ncrna,leuW,679058,679142,,679100.0,{'ebr00970': 'Aminoacyl-tRNA biosynthesis'},,,,,,,,,
637,637,666,EBG00001040550,ncrna,tRNA,679061,679142,,679101.5,,,,,,,,,,
638,638,667,ECB_t00014,ncrna,metT,679151,679227,,679189.0,{'ebr00970': 'Aminoacyl-tRNA biosynthesis'},,,,,,,,,
639,639,668,EBG00001040635,ncrna,tRNA,679154,679227,,679190.5,,,,,,,,,,
640,640,669,ECB_00631,cds,asnB,679608,681272,asparagine synthetase B,680440.0,"{'ebr00250': 'Alanine, aspartate and glutamate metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01230': 'Biosynthesis of amino acids'}",0.0005903892414353417,0.02080293362418297,-0.003485483180949812,0.004368772764542228,-0.006477685458574885,-0.00047646022482262336,-0.004912722787734704,-0.007343747811933523,-0.006730093244049357
641,641,670,ECB_00632,cds,nagD,681669,682421,UMP phosphatase,682045.0,"{'ebr00230': 'Purine metabolism', 'ebr00240': 'Pyrimidine metabolism', 'ebr00760': 'Nicotinate and nicotinamide metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01232': 'Nucleotide metabolism'}",-0.00817785181778773,0.03079317077869685,,0.0017477737578489231,,0.005634379179197354,-0.03292683086474711,-0.0026655315921672697,-0.006104922439503192
642,642,671,ECB_00633,cds,nagC,682469,683689,"DNA-binding transcriptional dual regulator, repressor of N-acetylglucosamine",683079.0,,,,,,,,,,
643,643,672,ECB_00634,cds,nagA,683698,684846,N-acetylglucosamine-6-phosphate deacetylase,684272.0,"{'ebr00520': 'Amino sugar and nucleotide sugar metabolism', 'ebr01100': 'Metabolic pathways'}",,,,,,,,,
644,644,673,ECB_00635,cds,nagB,684906,685706,glucosamine-6-phosphate deaminase,685306.0,"{'ebr00520': 'Amino sugar and nucleotide sugar metabolism', 'ebr01100': 'Metabolic pathways'}",-0.006881080854277115,0.02357151519583341,0.004569182611221729,0.00592424891772234,-0.00669275058519982,-0.008244899209055773,-0.00839397650003938,-0.002502744762521093,-0.019042156839799148
645,645,674,ECB_00636,cds,nagE,686039,687985,fused N-acetyl glucosamine specific PTS enzyme,687012.0,"{'ebr00520': 'Amino sugar and nucleotide sugar metabolism', 'ebr02060': 'Phosphotransferase system (PTS)'}",0.006648104195615713,-0.010032124344712942,0.001337981280046799,0.0005401901744278276,-0.0060295938961270465,-0.0020562369523618182,-0.007867814672002925,-0.0018640746444787664,-0.008545008158776565
646,646,675,ECB_00637,cds,glnS,688188,689852,glutaminyl-tRNA synthetase,689020.0,"{'ebr00970': 'Aminoacyl-tRNA biosynthesis', 'ebr01100': 'Metabolic pathways'}",,,,,,,,,
647,647,676,ECB_00638,cds,ybfM,690429,691835,predicted outer membrane porin,691132.0,,-0.0028015755286712953,0.004025534119435429,0.00015756961910345343,0.001381882814442336,-0.0021542611676301326,0.0033516858750129034,-0.0028418038226591326,0.0020082793862359655,0.0004086418400331134
648,648,677,ECB_00639,cds,ybfN,691885,692211,predicted lipoprotein,692048.0,,,,,,,,,,0.007864669186761779
649,649,678,ECB_00640,cds,fur,692295,692741,ferric uptake regulator,692518.0,,,,,,,,,,
650,650,679,ECB_00641,cds,fldA,693030,693560,flavodoxin 1,693295.0,,,,,,,,,,
651,651,680,ECB_00642,cds,ybfE,693700,693993,LexA regulated protein,693846.5,,,,,,,,0.03344284300832779,,0.014370188102679397
652,652,681,ECB_00643,cds,ybfF,694133,694897,hypothetical protein,694515.0,,-0.005943030981632769,-0.04375391677154089,0.006726084527062574,-0.0014833431967645587,-0.0037502943956259633,-0.013086037082094245,0.0005770572377692682,0.012870508844691212,0.00029653794006161133
653,653,682,ECB_00644,cds,seqA,695082,695627,regulatory protein for replication initiation,695354.5,,,,,,,,,,
654,654,683,ECB_00645,cds,pgm,695653,697293,phosphoglucomutase,696473.0,"{'ebr00010': 'Glycolysis / Gluconeogenesis', 'ebr00030': 'Pentose phosphate pathway', 'ebr00052': 'Galactose metabolism', 'ebr00230': 'Purine metabolism', 'ebr00500': 'Starch and sucrose metabolism', 'ebr00520': 'Amino sugar and nucleotide sugar metabolism', 'ebr00521': 'Streptomycin biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01120': 'Microbial metabolism in diverse environments', 'ebr01250': 'Biosynthesis of nucleotide sugars'}",,,,,,,,,
655,655,684,ECB_00646,cds,ybfP,697507,698001,hypothetical protein,697754.0,,0.000883969958911358,0.014400125871625166,0.0029824028642919565,-0.0016600969459641024,0.008790947521183794,-0.0009206971191242695,0.004668024690201545,-0.0035806377135008476,-0.003047682831871537
656,656,685,ECB_00647,cds,ybfGH,698042,698692,hypothetical protein,698367.0,,0.00015665242564659812,-0.0020083634411238024,0.0002346567680924908,-0.0024937913574978963,-0.001579322121664459,-9.679963643651018e-05,0.0005864936138449952,0.0007463489062069635,-0.00247249734888978
657,657,686,ECB_00648,cds,potE,699041,700360,putrescine/proton symporter,699700.5,,-0.0031603660529105123,-0.0035617824614675945,-0.003092756280783496,-0.0007299855037338997,-0.0062054129952148285,-0.002555398791398929,-0.0029217098280914875,0.00015922014056973715,-0.002218061179417243
658,658,687,ECB_00649,cds,speF,700357,702555,"ornithine decarboxylase isozyme, inducible",701456.0,"{'ebr00330': 'Arginine and proline metabolism', 'ebr00480': 'Glutathione metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites'}",-0.004529912372943447,0.012370362914509669,0.0029382096001990226,0.0004354227628443996,0.001877275614050153,0.0010463789328785495,-0.002326968133653701,-0.0023614741602977427,0.00018888628005756108
659,659,689,ECB_00651,cds,kdpE,703151,703828,DNA-binding response regulator in two-component regulatory system with KdpD,703489.5,"{'ebr02020': 'Two-component system', 'ebr02024': 'Quorum sensing'}",0.005756172833379401,-0.020751582841509998,0.007476829404943959,0.00455574029294111,0.002533273408534712,-0.005215119075109142,0.005066943821825952,-0.009985410491662343,-0.00115908993776878
660,660,690,ECB_00652,cds,kdpD,703825,706512,fused sensory histidine kinase in two-component regulatory system with KdpE,705168.5,{'ebr02020': 'Two-component system'},0.00024212458971089486,-0.0021005743285644365,0.0019242259388511601,-0.001573359473425712,-0.0005563218688381952,-0.0006761625608764858,-0.012159571289585308,0.010482695825840632,-0.002186045634698048
661,661,691,ECB_00653,cds,kdpC,706502,707074,potassium-transporting ATPase subunit C,706788.0,{'ebr02020': 'Two-component system'},-0.0005019661183686442,,-0.000827675379316411,0.013106390812056948,0.0009262824528700775,-0.0011635188305759066,-0.009228889771968231,0.00030845100464515,-0.00015063707306417042
662,662,692,ECB_00654,cds,kdpB,707083,709131,potassium-transporting ATPase subunit B,708107.0,{'ebr02020': 'Two-component system'},0.0036411597207016734,0.02716349457873499,0.00234153804256287,-0.009240538933222455,-0.0015150072317246387,0.003863643384346954,-0.023357725019485742,0.0032761178540406245,9.621933094694848e-05
663,663,693,ECB_00655,cds,kdpA,709154,710827,potassium-transporting ATPase subunit A,709990.5,{'ebr02020': 'Two-component system'},-0.0021823582273619354,-0.006121894059955364,0.0013847711721225039,-0.0008051704962314225,0.0009974942417826655,0.0040969527790762315,-0.009750575103930363,-0.00237155073827584,-0.005075771926109715
664,664,694,ECB_00656,cds,kdpF,710827,710916,potassium ion accessory transporter subunit,710871.5,{'ebr02020': 'Two-component system'},,,,,,,0.019532864457854848,,-0.00015720421821938943
665,665,695,ECB_00657,cds,ybfA,711229,711435,hypothetical protein,711332.0,,,,,-0.008242720528338786,,,0.014688084601153045,,-0.11026789053912027
666,666,696,ECB_00658,cds,rhsC,711856,713520,rhsC element core protein RshC,712688.0,,-7.063887903922541e-05,0.0006134595828086989,0.001890070911451041,-0.00023232216263376117,0.0010584984393405864,0.0035555877849995686,0.0025778517108214685,-0.0005053608723141376,0.0021948261818744335
667,667,697,ECB_00659,cds,ybfB,713520,713846,predicted inner membrane protein,713683.0,,-0.0037210348157345227,-0.014159166923723574,0.004017284351753549,0.00039217086853450897,-0.0012178437242890464,0.005396219950869543,-0.0003701389386906902,0.0035873223563906587,0.0009440805505921113
668,668,698,ECB_00660,cds,ybfO,713964,715397,"conserved hypothetical protein, rhs-like protein",714680.5,,0.00022899981173966802,0.0077369983789218316,0.0023820310808074607,0.0010122550837573423,-0.003306578275625362,-0.0005080835562159196,-0.0045498559924893435,-0.0006320737182775049,-0.001776316692876199
669,669,699,ECB_00661,cds,ybfC,715394,715963,hypothetical protein,715678.5,,0.002304665567047381,0.0030526466733508738,0.005140038764169716,0.00337153111691438,0.000753693649646299,0.0012489281968626278,0.0016348637399744167,-0.000825121417738887,-0.0009935180109115966
670,670,703,ECB_00666,cds,ybfD,718985,719746,hypothetical protein,719365.5,,-0.003959709265563701,0.018857874599301487,0.0038624522895629523,0.003470711749392334,0.001527753640684036,0.0004013392698770311,-0.004538334503070008,-0.0031533132150313994,-0.0015844983523496067
671,671,704,ECB_00667,cds,ybgA,719894,720403,hypothetical protein,720148.5,,-0.00048006137796952937,0.006270776658186446,0.008322414027190961,0.005639605387958522,0.0051407472555906365,-0.0035632626431663593,0.0006575994238353342,-0.0008066012590220546,-0.009599898074813212
672,672,705,ECB_00668,cds,phrB,720400,721821,"deoxyribodipyrimidine photolyase, FAD-binding",721110.5,,0.004427159181631258,0.012665747038946977,-0.005062425924619485,-0.0004276531164633103,-0.020489229886213944,0.004547695806142693,-0.00317327764870524,-0.005284948847244601,-0.003181833183973128
673,673,706,ECB_00669,cds,ybgH,721860,723341,predicted transporter,722600.5,,0.002502566092714376,0.0004336215715435669,0.003413192281177261,-0.004701366498992204,-0.00409196120707532,0.004114303490973197,0.015071468008281262,-0.0032442026927842647,-0.002822464804582969
674,674,707,ECB_00670,cds,ybgI,723612,724355,conserved metal-binding protein,723983.5,,-0.0021933791977101786,0.01190709916658631,0.00680697018453701,0.0004576452434334668,,,0.03192244244900111,,0.0078080496176614455
675,675,708,ECB_00671,cds,ybgJ,724378,725034,predicted enzyme subunit,724706.0,"{'ebr00480': 'Glutathione metabolism', 'ebr01100': 'Metabolic pathways'}",,,,,,,0.014033663714674948,,0.008117008842513002
676,676,709,ECB_00672,cds,ybgK,725028,725960,predicted enzyme subunit,725494.0,"{'ebr00480': 'Glutathione metabolism', 'ebr01100': 'Metabolic pathways'}",-0.012890366373659291,-0.005678559129379364,0.0022850850034762823,0.003373268763310841,0.0012747441718189718,0.005405416763787614,0.002672256006083592,-0.0060148360327384985,0.010224885994171064
677,677,710,ECB_00673,cds,ybgL,725950,726684,hypothetical protein,726317.0,"{'ebr00480': 'Glutathione metabolism', 'ebr01100': 'Metabolic pathways'}",0.002927052923642369,,0.014258884292156446,-0.007665452568229683,,,-0.015731293783223355,-0.01916846353702437,-0.015331575589823232
678,678,711,ECB_00674,cds,nei,726720,727511,endonuclease VIII/ 5-formyluracil/5-hydroxymethyluracil DNA glycosylase,727115.5,{'ebr03410': 'Base excision repair'},-0.007454246819590658,,,,,-0.007522547656775742,-0.0007654482475450991,-0.0015745750865692192,0.00043923698551522766
679,679,712,ECB_00675,cds,abrB,727508,728554,predicted regulator,728031.0,,0.0038919468882440546,0.004091149729815625,-0.0018858150547020527,-0.001733280407387284,-0.05901845821030216,0.006738685412607264,-0.005097530809223725,0.002915489346874008,0.0018552545151048754
680,680,713,ECB_00676,cds,ybgO,728706,729767,predicted fimbrial-like adhesin protein,729236.5,,0.0015035838124490852,-0.0051923304035081715,-0.004979474122118788,0.0034638092652818004,-0.004225812199939861,-0.001864921696824987,0.008304989231531605,0.0018118542547129906,-0.0029893911754068263
