,gene_ID,type,gene_symbol,start,stop,description,pos,pathway
415,EBG00001040554,ncrna,sau-50,433599,433743,,433671.0,
416,ECB_00393,cds,ppiD,433970,435841,peptidyl-prolyl cis-trans isomerase (rotamase D),434905.5,
417,ECB_00394,cds,ybaV,435992,436363,hypothetical protein,436177.5,
418,ECB_00395,cds,ybaW,436469,436867,hypothetical protein,436668.0,
419,ECB_00396,cds,ybaX,436919,437614,predicted aluminum resistance protein,437266.5,"{'ebr00790': 'Folate biosynthesis', 'ebr01100': 'Metabolic pathways'}"
420,ECB_00397,cds,ybaE,437679,439379,predicted transporter subunit,438529.0,
421,ECB_00398,cds,cof,439479,440297,thiamin pyrimidine pyrophosphate hydrolase,439888.0,
422,ECB_00399,cds,ybaO,440450,440908,predicted DNA-binding transcriptional regulator,440679.0,
423,ECB_00400,cds,mdlA,440938,442710,fused predicted multidrug transporter subunits of ABC superfamily,441824.0,{'ebr02010': 'ABC transporters'}
424,ECB_00401,cds,mdlB,442703,444484,fused predicted multidrug transporter subunits of ABC superfamily,443593.5,{'ebr02010': 'ABC transporters'}
425,ECB_00402,cds,glnK,444665,445003,"nitrogen assimilation regulatory protein for GlnL, GlnE, and AmtB",444834.0,
426,ECB_00403,cds,amtB,445033,446319,ammonium transporter,445676.0,
427,ECB_00404,cds,tesB,446368,447228,acyl-CoA thioesterase II,446798.0,{'ebr01040': 'Biosynthesis of unsaturated fatty acids'}
428,ECB_00405,cds,ybaY,447446,448018,predicted outer membrane lipoprotein,447732.0,
429,ECB_00406,cds,ybaZ,448049,448438,predicted methyltransferase,448243.5,
430,EBG00001040675,ncrna,Bacteria_small_SRP,448523,448619,,448571.0,
431,ECB_00407,cds,ybaA,448739,449092,hypothetical protein,448915.5,
432,ECB_00408,cds,ylaB,449134,450684,conserved inner membrane protein,449909.0,
433,ECB_00409,cds,ylaC,450848,451318,predicted inner membrane protein,451083.0,
434,ECB_00410,cds,maa,451434,451985,maltose O-acetyltransferase,451709.5,
435,ECB_00411,cds,hha,452157,452375,"modulator of gene expression, with H-NS",452266.0,
436,ECB_00412,cds,ybaJ,452401,452775,hypothetical protein,452588.0,
437,ECB_00413,cds,acrB,453321,456470,multidrug efflux system protein,454895.5,"{'ebr01501': 'beta-Lactam resistance', 'ebr01503': 'Cationic antimicrobial peptide (CAMP) resistance'}"
438,ECB_00414,cds,acrA,456493,457686,multidrug efflux system,457089.5,"{'ebr01501': 'beta-Lactam resistance', 'ebr01503': 'Cationic antimicrobial peptide (CAMP) resistance'}"
439,ECB_00415,cds,acrR,457828,458475,DNA-binding transcriptional repressor,458151.5,
440,ECB_00416,cds,kefA,458603,461965,fused conserved hypothetical protein,460284.0,
441,ECB_00417,cds,ybaM,462177,462338,hypothetical protein,462257.5,
442,ECB_00418,cds,priC,462352,462879,primosomal replication protein N'',462615.5,{'ebr03440': 'Homologous recombination'}
443,ECB_00419,cds,ybaN,462949,463326,conserved inner membrane protein,463137.5,
444,ECB_00420,cds,apt,463479,464030,adenine phosphoribosyltransferase,463754.5,"{'ebr00230': 'Purine metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01232': 'Nucleotide metabolism'}"
445,ECB_00421,cds,dnaX,464159,466090,DNA polymerase III subunits gamma and tau,465124.5,"{'ebr03030': 'DNA replication', 'ebr03430': 'Mismatch repair', 'ebr03440': 'Homologous recombination'}"
446,ECB_00422,cds,ybaB,466143,466472,hypothetical protein,466307.5,
447,ECB_00423,cds,recR,466472,467077,recombination protein RecR,466774.5,{'ebr03440': 'Homologous recombination'}
448,ECB_00424,cds,htpG,467187,469061,heat shock protein 90,468124.0,
449,ECB_00425,cds,adk,469242,469886,adenylate kinase,469564.0,"{'ebr00230': 'Purine metabolism', 'ebr00730': 'Thiamine metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01232': 'Nucleotide metabolism', 'ebr01240': 'Biosynthesis of cofactors'}"
450,ECB_00426,cds,hemH,470122,471084,ferrochelatase,470603.0,"{'ebr00860': 'Porphyrin metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01240': 'Biosynthesis of cofactors'}"
451,ECB_00427,cds,aes,471081,472040,acetyl esterase,471560.5,
452,ECB_00428,cds,gsk,472192,473496,inosine/guanosine kinase,472844.0,"{'ebr00230': 'Purine metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01232': 'Nucleotide metabolism'}"
453,ECB_00429,cds,ybaL,473629,475305,predicted transporter with NAD(P)-binding Rossmann-fold domain,474467.0,
454,ECB_00430,cds,fsr,475543,476763,predicted fosmidomycin efflux system,476153.0,
455,ECB_00431,cds,ushA,476981,478633,UDP-sugar hydrolase,477807.0,"{'ebr00230': 'Purine metabolism', 'ebr00240': 'Pyrimidine metabolism', 'ebr00760': 'Nicotinate and nicotinamide metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01232': 'Nucleotide metabolism'}"
456,ECB_00432,cds,ybaK,478670,479149,hypothetical protein,478909.5,
457,EBG00001040707,ncrna,sroB,479271,479354,,479312.5,
458,ECB_00433,cds,ybaP,479353,480147,hypothetical protein,479750.0,
459,ECB_00434,cds,ybaQ,480285,480626,predicted DNA-binding transcriptional regulator,480455.5,
460,ECB_00435,cds,copA,481043,483547,copper transporter,482295.0,
461,ECB_00436,cds,ybaS,483809,484741,predicted glutaminase,484275.0,"{'ebr00220': 'Arginine biosynthesis', 'ebr00250': 'Alanine, aspartate and glutamate metabolism', 'ebr00470': 'D-Amino acid metabolism', 'ebr01100': 'Metabolic pathways', 'ebr02020': 'Two-component system'}"
462,ECB_00437,cds,ybaT,484744,486036,predicted transporter,485390.0,
463,ECB_00438,cds,cueR,486161,486568,DNA-binding transcriptional activator protein,486364.5,
464,ECB_00439,cds,ybbJ,486569,487024,conserved inner membrane protein,486796.5,
465,ECB_00440,cds,ybbK,487024,487941,"predicted protease, membrane anchored",487482.5,
466,ECB_00441,cds,ybbL,488087,488764,predicted transporter subunit,488425.5,
467,ECB_00442,cds,ybbM,488751,489530,predicted inner membrane protein,489140.5,
468,ECB_00443,cds,ybbN,489593,490447,predicted thioredoxin domain-containing protein,490020.0,
469,ECB_00444,cds,ybbO,490508,491317,short chain dehydrogenase,490912.5,
470,ECB_00445,cds,tesA,491307,491933,multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1,491620.0,{'ebr01040': 'Biosynthesis of unsaturated fatty acids'}
471,ECB_00446,cds,ybbA,491901,492587,predicted transporter subunit,492244.0,
472,ECB_00447,cds,ybbP,492584,494998,predicted inner membrane protein,493791.0,
473,ECB_00448,cds,rhsD,495428,499708,rhsD element protein,497568.0,
474,ECB_00449,cds,ybbC,499748,500116,hypothetical protein,499932.0,
475,ECB_00450,cds,ylbH,500116,500826,"conserved hypothetical protein, rhs-like protein",500471.0,
476,ECB_00451,cds,ybbD,500807,501067,hypothetical protein,500937.0,
477,ECB_00452,cds,ylbG,501811,502182,predicted DNA-binding transcriptional regulator,501996.5,
478,ECB_00453,cds,ybbB,502298,503392,"tRNA 2-selenouridine synthase, selenophosphate-dependent",502845.0,
479,ECB_00454,cds,ybbS,503461,504387,DNA-binding transcriptional activator of the allD operon,503924.0,
480,ECB_00455,cds,allA,504617,505099,ureidoglycolate hydrolase,504858.0,"{'ebr00230': 'Purine metabolism', 'ebr01100': 'Metabolic pathways'}"
481,ECB_00456,cds,allR,505177,505992,DNA-binding transcriptional repressor,505584.5,
482,ECB_00457,cds,gcl,506082,507863,glyoxylate carboligase,506972.5,"{'ebr00630': 'Glyoxylate and dicarboxylate metabolism', 'ebr01100': 'Metabolic pathways'}"
483,ECB_00458,cds,hyi,507876,508652,hydroxypyruvate isomerase,508264.0,"{'ebr00630': 'Glyoxylate and dicarboxylate metabolism', 'ebr01100': 'Metabolic pathways'}"
484,ECB_00459,cds,glxR,508752,509630,"tartronate semialdehyde reductase, NADH-dependent",509191.0,"{'ebr00630': 'Glyoxylate and dicarboxylate metabolism', 'ebr01100': 'Metabolic pathways'}"
485,ECB_00460,cds,ybbV,509662,509940,hypothetical protein,509801.0,
486,ECB_00461,cds,allP,509799,511253,predicted allantoin transporter,510526.0,
487,ECB_00462,cds,allB,511313,512674,allantoinase,511993.5,"{'ebr00230': 'Purine metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01120': 'Microbial metabolism in diverse environments'}"
488,ECB_00463,cds,ybbY,512731,514032,predicted uracil/xanthine transporter,513381.5,
489,ECB_00464,cds,glxK,514054,515199,glycerate kinase II,514626.5,"{'ebr00260': 'Glycine, serine and threonine metabolism', 'ebr00561': 'Glycerolipid metabolism', 'ebr00630': 'Glyoxylate and dicarboxylate metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01120': 'Microbial metabolism in diverse environments'}"
490,EBG00001040581,ncrna,STnc480,515354,515420,,515387.0,
491,ECB_00465,cds,ylbA,515427,516212,hypothetical protein,515819.5,"{'ebr00230': 'Purine metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01120': 'Microbial metabolism in diverse environments'}"
492,ECB_00466,cds,allC,516223,517458,N-carbamoyl-L-amino acid amidohydrolase,516840.5,"{'ebr00230': 'Purine metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01120': 'Microbial metabolism in diverse environments'}"
493,ECB_00467,cds,allD,517480,518529,ureidoglycolate dehydrogenase,518004.5,"{'ebr00230': 'Purine metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01120': 'Microbial metabolism in diverse environments'}"
494,ECB_00468,cds,fdrA,518846,520513,membrane protein FdrA,519679.5,
495,ECB_00469,cds,ylbE,520523,521782,hypothetical protein,521152.5,
496,ECB_00470,cds,ylbF,521889,522608,hypothetical protein,522248.5,
497,ECB_00471,cds,arcC,522605,523498,predicted carbamate kinase,523051.5,"{'ebr00220': 'Arginine biosynthesis', 'ebr00230': 'Purine metabolism', 'ebr00910': 'Nitrogen metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01120': 'Microbial metabolism in diverse environments', 'ebr01200': 'Carbon metabolism'}"
498,ECB_00472,cds,purK,523635,524702,phosphoribosylaminoimidazole carboxylase,524168.5,"{'ebr00230': 'Purine metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites'}"
499,ECB_00473,cds,purE,524699,525208,phosphoribosylaminoimidazole carboxylase catalytic subunit,524953.5,"{'ebr00230': 'Purine metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites'}"
500,ECB_00474,cds,ybbF,525326,526048,"UDP-2,3-diacylglucosamine hydrolase",525687.0,"{'ebr00540': 'Lipopolysaccharide biosynthesis', 'ebr01100': 'Metabolic pathways'}"
501,ECB_00475,cds,ppiB,526051,526545,peptidyl-prolyl cis-trans isomerase B (rotamase B),526298.0,
502,ECB_00476,cds,cysS,526719,528104,cysteinyl-tRNA synthetase,527411.5,{'ebr00970': 'Aminoacyl-tRNA biosynthesis'}
503,ECB_00477,cds,ybcI,528140,528661,conserved inner membrane protein,528400.5,
504,ECB_00478,cds,ybcJ,528769,528981,predicted RNA-binding protein,528875.0,
505,ECB_00479,cds,folD,528983,529849,"bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase",529416.0,"{'ebr00670': 'One carbon pool by folate', 'ebr01100': 'Metabolic pathways', 'ebr01120': 'Microbial metabolism in diverse environments', 'ebr01200': 'Carbon metabolism', 'ebr01240': 'Biosynthesis of cofactors'}"
506,ECB_00480,cds,sfmA,530320,530862,predicted fimbrial-like adhesin protein,530591.0,
507,ECB_00481,cds,sfmC,531082,531774,"pilin chaperone, periplasmic",531428.0,
508,ECB_00482,cds,sfmD,531805,534414,predicted outer membrane export usher protein,533109.5,
509,ECB_00483,cds,sfmH,534456,535433,predicted fimbrial-like adhesin protein,534944.5,
510,ECB_00484,cds,sfmF,535444,535959,predicted fimbrial-like adhesin protein,535701.5,
511,ECB_00485,cds,fimZ,535962,536594,predicted DNA-binding transcriptional regulator,536278.0,{'ebr02020': 'Two-component system'}
512,EBG00001040715,ncrna,tRNA,536837,536910,,536873.5,
513,ECB_t00007,ncrna,argU,536837,536913,,536875.0,{'ebr00970': 'Aminoacyl-tRNA biosynthesis'}
514,ECB_00486,cds,intD,536929,538092,predicted integrase,537510.5,
519,ECB_00492,cds,renD,539952,540137,predicted protein,540044.5,
520,ECB_00493,cds,emrE,540205,540537,multidrug efflux protein,540371.0,
521,ECB_00494,cds,ybcK,540792,542318,predicted recombinase,541555.0,
522,ECB_00495,cds,ybcL,542783,543334,predicted kinase inhibitor,543058.5,
523,ECB_00496,cds,ybcM,543344,544141,predicted DNA-binding transcriptional regulator,543742.5,
524,ECB_00497,cds,ybcN,544356,544811,predicted protein,544583.5,
525,ECB_00498,cds,ninE,544811,544981,conserved hypothetical protein,544896.0,
526,ECB_00499,cds,ybcO,544974,545264,predicted protein,545119.0,
527,ECB_00500,cds,rus,545261,545623,endonuclease RUS,545442.0,
528,ECB_00501,cds,ylcG,545620,545760,predicted protein,545690.0,
529,ECB_00502,cds,ybcQ,545846,546229,predicted antitermination protein,546037.5,
530,ECB_00504,cds,insB-6,546947,547450,IS1 protein InsB,547198.5,
531,ECB_00505,cds,insA-6,547369,547644,IS1 protein InsA,547506.5,
532,ECB_00506,cds,ybcR,548867,549082,predicted phage lysis protein,548974.5,
533,ECB_00507,cds,ybcS,549082,549579,predicted lysozyme,549330.5,
534,ECB_00508,cds,ybcT,549576,550037,predicted murein endopeptidase,549806.5,
535,ECB_00509,cds,ybcU,550069,550362,predicted lipoprotein,550215.5,
537,ECB_00511,cds,nohB,551306,551881,DNA packaging protein,551593.5,
544,ECB_00518,cds,appY,559033,559782,DNA-binding transcriptional activator,559407.5,{'ebr02020': 'Two-component system'}
545,ECB_00519,cds,ompT,560031,560984,outer membrane protease VII (outer membrane protein 3b),560507.5,
546,ECB_00520,cds,envY,561498,562259,DNA-binding transcriptional activator of porin biosynthesis,561878.5,
547,ECB_00521,cds,ybcH,562442,563332,hypothetical protein,562887.0,
548,ECB_00522,cds,nfrA,563333,566305,"bacteriophage N4 receptor, outer membrane subunit",564819.0,
550,ECB_00525,cds,yhhI-2,568800,569936,predicted transposase,569368.0,
556,ECB_00531,cds,cusS,574225,575673,"sensory histidine kinase in two-component regulatory system with CusR, senses copper ions",574949.0,{'ebr02020': 'Two-component system'}
557,ECB_00532,cds,cusR,575663,576346,DNA-binding response regulator in two-component regulatory system with CusS,576004.5,{'ebr02020': 'Two-component system'}
558,ECB_00533,cds,cusC,576503,577876,"copper/silver efflux system, outer membrane component",577189.5,{'ebr02020': 'Two-component system'}
559,ECB_00534,cds,ylcC,578034,578366,periplasmic copper-binding protein,578200.0,{'ebr02020': 'Two-component system'}
560,ECB_00535,cds,cusB,578382,579605,"copper/silver efflux system, membrane fusion protein",578993.5,{'ebr02020': 'Two-component system'}
561,ECB_00536,cds,cusA,579617,582760,"copper/silver efflux system, membrane component",581188.5,{'ebr02020': 'Two-component system'}
562,ECB_00537,cds,pheP,582862,584238,phenylalanine transporter,583550.0,
563,ECB_00538,cds,ybdG,584306,585553,predicted mechanosensitive channel,584929.5,
564,ECB_00539,cds,nfnB,585661,586314,"dihydropteridine reductase, NAD(P)H-dependent, oxygen-insensitive",585987.5,"{'ebr00633': 'Nitrotoluene degradation', 'ebr01120': 'Microbial metabolism in diverse environments'}"
565,ECB_00540,cds,ybdF,586408,586776,hypothetical protein,586592.0,
566,ECB_00541,cds,ybdJ,586841,587089,predicted inner membrane protein,586965.0,
567,ECB_00542,cds,ybdK,587155,588273,gamma-glutamyl,587714.0,"{'ebr00480': 'Glutathione metabolism', 'ebr01100': 'Metabolic pathways'}"
568,ECB_00543,cds,insJ-1,588542,589063,IS150 hypothetical protein,588802.5,
569,ECB_00545,cds,insB-7,589570,590073,IS1 protein insB,589821.5,
570,ECB_00546,cds,insA-7,589992,590267,IS1 protein InsA,590129.5,
571,ECB_00547,cds,hokE,590543,590695,"toxic polypeptide, small",590619.0,
572,ECB_00548,cds,insL-3,590772,591884,IS186 hypothetical protein,591328.0,
573,ECB_00549,cds,entD,592166,592795,phosphopantetheinyltransferase component of enterobactin synthase multienzyme complex,592480.5,"{'ebr01053': 'Biosynthesis of siderophore group nonribosomal peptides', 'ebr01110': 'Biosynthesis of secondary metabolites'}"
574,ECB_00550,cds,fepA,592961,595201,iron-enterobactin outer membrane transporter,594081.0,{'ebr02020': 'Two-component system'}
575,ECB_00551,cds,fes,595523,596647,enterobactin/ferric enterobactin esterase,596085.0,
576,ECB_00552,cds,ybdZ,596650,596868,hypothetical protein,596759.0,
577,ECB_00553,cds,entF,596865,600746,"enterobactin synthase multienzyme complex component, ATP-dependent",598805.5,"{'ebr01053': 'Biosynthesis of siderophore group nonribosomal peptides', 'ebr01110': 'Biosynthesis of secondary metabolites'}"
578,ECB_00554,cds,fepE,600962,602095,regulator of length of O-antigen component of lipopolysaccharide chains,601528.5,
579,ECB_00555,cds,fepC,602092,602907,iron-enterobactin transporter subunit,602499.5,{'ebr02010': 'ABC transporters'}
580,ECB_00556,cds,fepG,602904,603896,iron-enterobactin transporter subunit,603400.0,{'ebr02010': 'ABC transporters'}
581,ECB_00557,cds,fepD,603893,604897,iron-enterobactin transporter subunit,604395.0,{'ebr02010': 'ABC transporters'}
582,ECB_00558,cds,ybdA,605008,606258,predicted transporter,605633.0,
583,ECB_00559,cds,fepB,606262,607218,iron-enterobactin transporter subunit,606740.0,{'ebr02010': 'ABC transporters'}
584,ECB_00560,cds,entC,607593,608768,isochorismate synthase,608180.5,"{'ebr00130': 'Ubiquinone and other terpenoid-quinone biosynthesis', 'ebr01053': 'Biosynthesis of siderophore group nonribosomal peptides', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites'}"
585,ECB_00561,cds,entE,608778,610388,"2,3-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex",609583.0,"{'ebr01053': 'Biosynthesis of siderophore group nonribosomal peptides', 'ebr01110': 'Biosynthesis of secondary metabolites'}"
586,ECB_00562,cds,entB,610402,611259,isochorismatase,610830.5,"{'ebr01053': 'Biosynthesis of siderophore group nonribosomal peptides', 'ebr01110': 'Biosynthesis of secondary metabolites'}"
587,ECB_00563,cds,entA,611259,612005,"2,3-dihydroxybenzoate-2,3-dehydrogenase",611632.0,"{'ebr01053': 'Biosynthesis of siderophore group nonribosomal peptides', 'ebr01110': 'Biosynthesis of secondary metabolites'}"
588,ECB_00564,cds,ybdB,612008,612421,hypothetical protein,612214.5,{'ebr01053': 'Biosynthesis of siderophore group nonribosomal peptides'}
589,ECB_00566,cds,ybdD,614879,615076,hypothetical protein,614977.5,
590,ECB_00567,cds,ybdH,615086,616174,predicted oxidoreductase,615630.0,
591,ECB_00568,cds,ybdL,616283,617443,putative aminotransferase,616863.0,
592,ECB_00569,cds,ybdM,617444,618073,hypothetical protein,617758.5,
593,ECB_00570,cds,ybdN,618046,619107,hypothetical protein,618576.5,
594,ECB_00571,cds,insB-8,619132,619635,IS1 protein InsB,619383.5,
595,ECB_00572,cds,insA-8,619554,619829,IS1 protein InsA,619691.5,
596,ECB_00573,cds,dsbG,619863,620624,periplasmic disulfide isomerase/thiol-disulphide oxidase,620243.5,
597,EBG00001040560,ncrna,STnc70,620758,620851,,620804.5,
598,ECB_00574,cds,ahpC,620996,621559,"alkyl hydroperoxide reductase, C22 subunit",621277.5,
599,ECB_00575,cds,ahpF,621804,623369,"alkyl hydroperoxide reductase, F52a subunit, FAD/NAD(P)-binding",622586.5,
600,ECB_00576,cds,ybdQ,623490,623918,universal stress protein UP12,623704.0,
601,ECB_00577,cds,ybdR,624139,625377,"predicted oxidoreductase, Zn-dependent and NAD(P)-binding",624758.0,
602,ECB_00578,cds,rnk,625608,626018,nucleoside diphosphate kinase regulator,625813.0,
603,EBG00001040694,ncrna,rnk_leader,626064,626172,,626118.0,
604,ECB_00579,cds,rna,626248,627054,ribonuclease I,626651.0,
605,ECB_00580,cds,citT,627168,628631,citrate,627899.5,{'ebr02020': 'Two-component system'}
606,ECB_00581,cds,citG,628682,629560,triphosphoribosyl-dephospho-CoA transferase,629121.0,{'ebr02020': 'Two-component system'}
607,ECB_00582,cds,citX,629535,630086,2'-(5'-triphosphoribosyl)-3'-dephospho-CoA,629810.5,{'ebr02020': 'Two-component system'}
608,ECB_00583,cds,citF,630090,631622,"citrate lyase, citrate-ACP transferase (alpha) subunit",630856.0,{'ebr02020': 'Two-component system'}
609,ECB_00584,cds,citE,631633,632541,"citrate lyase, citryl-ACP lyase (beta) subunit",632087.0,{'ebr02020': 'Two-component system'}
610,ECB_00585,cds,citD,632538,632834,"citrate lyase, acyl carrier (gamma) subunit",632686.0,{'ebr02020': 'Two-component system'}
611,ECB_00586,cds,citC,632849,633907,citrate lyase synthetase,633378.0,{'ebr02020': 'Two-component system'}
612,ECB_00587,cds,insB-9,633993,634496,IS1 protein InsB,634244.5,
613,ECB_00588,cds,insA-9,634415,634690,IS1 protein InsA,634552.5,
614,ECB_00589,cds,citA,634823,636481,sensory histidine kinase in two-component regulatory system with citB,635652.0,{'ebr02020': 'Two-component system'}
615,ECB_00590,cds,citB,636450,637130,DNA-binding response regulator in two-component regulatory system with citA,636790.0,{'ebr02020': 'Two-component system'}
616,ECB_00591,cds,dcuC,637171,638556,anaerobic C4-dicarboxylate transport,637863.5,
617,ECB_00592,cds,crcA,639144,639704,palmitoyl transferase for Lipid A,639424.0,"{'ebr00540': 'Lipopolysaccharide biosynthesis', 'ebr01503': 'Cationic antimicrobial peptide (CAMP) resistance'}"
618,ECB_00593,cds,cspE,639873,640082,cold shock protein E,639977.5,
619,ECB_00594,cds,ccrB,640137,640520,camphor resistance protein CrcB,640328.5,
620,ECB_00595,cds,ybeM,640613,641401,putative NAD(P)-binding amidase-type enzyme YbeM (C-N hydrolase family),641007.0,
621,ECB_00596,cds,tatE,641530,641733,twin arginine translocase protein E,641631.5,"{'ebr03060': 'Protein export', 'ebr03070': 'Bacterial secretion system'}"
622,ECB_00597,cds,lipA,641834,642799,lipoyl synthase,642316.5,"{'ebr00785': 'Lipoic acid metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01240': 'Biosynthesis of cofactors'}"
623,ECB_00598,cds,ybeF,643008,643961,predicted DNA-binding transcriptional regulator,643484.5,
624,ECB_00599,cds,lipB,644220,644861,lipoyltransferase,644540.5,"{'ebr00785': 'Lipoic acid metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01240': 'Biosynthesis of cofactors'}"
625,ECB_00600,cds,ybeD,644962,645225,hypothetical protein,645093.5,
626,ECB_00601,cds,dacA,645335,646546,D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 5),645940.5,"{'ebr00550': 'Peptidoglycan biosynthesis', 'ebr01100': 'Metabolic pathways'}"
627,ECB_00602,cds,rlpA,646686,647774,minor lipoprotein,647230.0,
628,ECB_00603,cds,mrdB,647785,648897,cell wall shape-determining protein,648341.0,
629,ECB_00604,cds,mrdA,648900,650801,transpeptidase involved in peptidoglycan synthesis (penicillin-binding protein 2),649850.5,"{'ebr00550': 'Peptidoglycan biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01501': 'beta-Lactam resistance'}"
630,ECB_00605,cds,ybeA,650832,651299,hypothetical protein,651065.5,
631,ECB_00606,cds,ybeB,651303,651620,hypothetical protein,651461.5,
632,ECB_00607,cds,phpB,651880,652491,predicted alpha-ribazole-5'-P phosphatase,652185.5,"{'ebr00860': 'Porphyrin metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01240': 'Biosynthesis of cofactors'}"
633,ECB_00608,cds,nadD,652515,653156,nicotinic acid mononucleotide adenyltransferase,652835.5,"{'ebr00760': 'Nicotinate and nicotinamide metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01240': 'Biosynthesis of cofactors'}"
634,ECB_00609,cds,holA,653158,654189,DNA polymerase III subunit delta,653673.5,"{'ebr03030': 'DNA replication', 'ebr03430': 'Mismatch repair', 'ebr03440': 'Homologous recombination'}"
635,ECB_00610,cds,rlpB,654189,654770,minor lipoprotein,654479.5,
636,ECB_00611,cds,leuS,654785,657367,leucyl-tRNA synthetase,656076.0,{'ebr00970': 'Aminoacyl-tRNA biosynthesis'}
637,ECB_00612,cds,ybeL,657602,658084,hypothetical protein,657843.0,
638,ECB_00614,cds,ybeR,659295,660002,hypothetical protein,659648.5,
639,ECB_00615,cds,ybeV,660310,661449,Hsc56 co-chaperone of HscC,660879.5,
640,ECB_00616,cds,hscC,661509,663179,"Hsp70 family chaperone Hsc62, binds to RpoD and inhibits transcription",662344.0,
641,ECB_00617,cds,rihA,663263,664198,ribonucleoside hydrolase 1,663730.5,"{'ebr00240': 'Pyrimidine metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01232': 'Nucleotide metabolism'}"
642,ECB_00619,cds,insJ-2,664735,665256,IS150 hypothetical protein,664995.5,
643,ECB_00620,cds,insK-2,665253,666104,IS150 putative transposase,665678.5,
644,ECB_00621,cds,gltK,666487,667161,glutamate and aspartate transporter subunit,666824.0,"{'ebr02010': 'ABC transporters', 'ebr02020': 'Two-component system'}"
645,ECB_00622,cds,gltJ,667161,667901,glutamate and aspartate transporter subunit,667531.0,"{'ebr02010': 'ABC transporters', 'ebr02020': 'Two-component system'}"
646,EBG00001040533,ncrna,sroC,667913,668075,,667994.0,
647,ECB_00623,cds,gltI,668071,668979,glutamate and aspartate transporter subunit,668525.0,"{'ebr02010': 'ABC transporters', 'ebr02020': 'Two-component system'}"
649,ECB_00625,cds,lnt,671438,672976,apolipoprotein N-acyltransferase,672207.0,
650,ECB_00626,cds,ybeX,673001,673879,predicteed ion transport,673440.0,
651,ECB_00627,cds,ybeY,673969,674436,hypothetical protein,674202.5,
652,ECB_00628,cds,ybeZ,674433,675512,predicted protein with nucleoside triphosphate hydrolase domain,674972.5,
653,ECB_00629,cds,yleA,675626,677050,isopentenyl-adenosine A37 tRNA methylthiolase,676338.0,
654,ECB_00630,cds,ubiF,677196,678371,"2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase",677783.5,"{'ebr00130': 'Ubiquinone and other terpenoid-quinone biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01240': 'Biosynthesis of cofactors'}"
655,ECB_t00008,ncrna,glnX,678525,678599,,678562.0,{'ebr00970': 'Aminoacyl-tRNA biosynthesis'}
656,EBG00001040611,ncrna,tRNA,678528,678599,,678563.5,
657,ECB_t00009,ncrna,glnV,678637,678711,,678674.0,{'ebr00970': 'Aminoacyl-tRNA biosynthesis'}
658,EBG00001040631,ncrna,tRNA,678640,678711,,678675.5,
659,ECB_t00010,ncrna,metU,678759,678835,,678797.0,{'ebr00970': 'Aminoacyl-tRNA biosynthesis'}
660,EBG00001040546,ncrna,tRNA,678762,678835,,678798.5,
661,ECB_t00011,ncrna,glnW,678851,678925,,678888.0,{'ebr00970': 'Aminoacyl-tRNA biosynthesis'}
662,EBG00001040529,ncrna,tRNA,678854,678925,,678889.5,
663,ECB_t00012,ncrna,glnU,678960,679034,,678997.0,{'ebr00970': 'Aminoacyl-tRNA biosynthesis'}
664,EBG00001040679,ncrna,tRNA,678963,679034,,678998.5,
665,ECB_t00013,ncrna,leuW,679058,679142,,679100.0,{'ebr00970': 'Aminoacyl-tRNA biosynthesis'}
666,EBG00001040550,ncrna,tRNA,679061,679142,,679101.5,
